Benchmark Type,Test Name,Kernel ID,Thread block Limit SM,Thread block limit registers,Thread block limit shared memory,Thread block limit warps,Theoretical max active warps per SM,Theoretical occupancy,Achieved active warps per SM,Achieved occupancy,Unified L1 cache hit rate,Unified L1 cache hit rate for read transactions (global memory accesses),L2 cache hit rate,GMEM read requests,GMEM write requests,GMEM total requests,GMEM read transactions,GMEM write transactions,GMEM total transactions,Number of read transactions per read requests,Number of write transactions per write requests,L2 read transactions,L2 write transactions,L2 total transactions,DRAM total transactions,Total number of global atomic requests,Total number of global reduction requests,Global memory atomic and reduction transactions,GPU active cycles,SM active cycles,Warp instructions executed,Instructions executed per clock cycle (IPC),Total instructions executed per seconds (MIPS),Kernel execution time (ns),Unified L1 cache total requests,Unified L2 cache total requests
test,l1config-70_l2config-100,36,32.0,2.0,2.0,16.0,8.0,12.5,7.976831640592302,12.463799438425472,45.523162267110344,0.0,98.5354678141587,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546802916.0,250747232.0,797550148.0,17085508.0,0.0,0.0,0.0,30670263.0,30612855.67857143,2483027968.0,1.4456938685314429,1344.8217724259714,32970752.0,144965632.0,199385277.0
test,l1config-70_l2config-100,37,32.0,2.0,2.0,16.0,8.0,12.5,7.976854851082321,12.463835704816127,45.52229489515484,0.0,98.54192884327205,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546819880.0,250762600.0,797582480.0,17095308.0,0.0,0.0,0.0,30667239.0,30615381.82142857,2483027968.0,1.4458364003682935,1344.5372932561374,32977728.0,144965632.0,199390396.0
test,l1config-70_l2config-100,38,32.0,2.0,2.0,16.0,8.0,12.5,7.976859087950355,12.46384232492243,45.52565921949355,0.0,98.53824235725305,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546811384.0,250771200.0,797582584.0,17087176.0,0.0,0.0,0.0,30669022.0,30607276.160714287,2483027968.0,1.445752461813304,1344.9157552960073,32968448.0,144965632.0,199393204.0
test,l1config-70_l2config-100,39,32.0,2.0,2.0,16.0,8.0,12.5,7.976874128887196,12.463865826386243,45.52409270060179,0.0,98.54217725096093,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546810100.0,250786764.0,797596864.0,17089788.0,0.0,0.0,0.0,30653051.0,30614000.44642857,2483027968.0,1.446505428470413,1344.5725203845077,32976864.0,144965632.0,199399276.0
test,l1config-70_l2config-100,40,32.0,2.0,2.0,16.0,8.0,12.5,7.97687239494066,12.463863117094782,45.52557174541677,0.0,98.54740296306973,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546803144.0,250758016.0,797561160.0,17087232.0,0.0,0.0,0.0,30666480.0,30611800.964285713,2483027968.0,1.4458721496962041,1344.2307646999393,32985248.0,144965632.0,199395701.0
test,l1config-70_l2config-100,41,32.0,2.0,2.0,16.0,8.0,12.5,7.976851916054287,12.463831118834822,45.52518028775466,0.0,98.53644067179367,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546818916.0,250721356.0,797540272.0,17113748.0,0.0,0.0,0.0,30661766.0,30611930.44642857,2483027968.0,1.4460943349194237,1344.5046771904783,32978528.0,144965632.0,199405654.0
test,l1config-70_l2config-100,42,32.0,2.0,2.0,16.0,8.0,12.5,7.976855259389371,12.463836342795892,45.524980975616046,0.0,98.53458539173329,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546799560.0,250750820.0,797550380.0,17083056.0,0.0,0.0,0.0,30670578.0,30616940.35714286,2483027968.0,1.4456791973851841,1344.6651634948853,32974592.0,144965632.0,199386810.0
test,l1config-70_l2config-100,43,32.0,2.0,2.0,16.0,8.0,12.5,7.976874543379035,12.463866474029741,45.52828980612784,0.0,98.53814139933102,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546806116.0,250790436.0,797596552.0,17085156.0,0.0,0.0,0.0,30675136.0,30619111.23214286,2483027968.0,1.4454640547788264,1344.7891425571092,32971552.0,144965632.0,199391625.0
test,l1config-70_l2config-100,44,32.0,2.0,2.0,16.0,8.0,12.5,7.976868466882563,12.463856979504005,45.52525678669991,0.0,98.5441267901571,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546800172.0,250757976.0,797558148.0,17104996.0,0.0,0.0,0.0,30664154.0,30615108.35714286,2483027968.0,1.4459822494010455,1343.9934641365137,32991072.0,144965632.0,199397882.0
test,l1config-70_l2config-100,45,32.0,2.0,2.0,16.0,8.0,12.5,7.9768581186196394,12.463840810343187,45.52557941952443,0.0,98.54488808546877,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546808648.0,250756508.0,797565156.0,17087956.0,0.0,0.0,0.0,30664685.0,30613384.875,2483027968.0,1.445956844822647,1344.2177240318294,32985568.0,144965632.0,199382975.0
test,l1config-70_l2config-100,46,32.0,2.0,2.0,16.0,8.0,12.5,7.976883951766678,12.463881174635434,45.52240458755071,0.0,98.54536417918197,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546807140.0,250758788.0,797565928.0,17086288.0,0.0,0.0,0.0,30669944.0,30613875.44642857,2483027968.0,1.4457089759988533,1344.5881774785282,32976480.0,144965632.0,199393369.0
